km	kg/m3	Pa	K	kg/mol
870.0000000000000000000	0.0000000000000069980	0.0000000123982000000	1000.0000000000000000000	0.0046700000000000000
880.0000000000000000000	0.0000000000000065850	0.0000000118898000000	1000.0000000000000000000	0.0045800000000000000
890.0000000000000000000	0.0000000000000061720	0.0000000113814000000	1000.0000000000000000000	0.0044900000000000000
900.0000000000000000000	0.0000000000000057590	0.0000000108730000000	1000.0000000000000000000	0.0044000000000000000
910.0000000000000000000	0.0000000000000054978	0.0000000104947000000	1000.0000000000000000000	0.0043440000000000000
920.0000000000000000000	0.0000000000000052366	0.0000000101164000000	1000.0000000000000000000	0.0042880000000000000
930.0000000000000000000	0.0000000000000049754	0.0000000097381600000	1000.0000000000000000000	0.0042320000000000000
940.0000000000000000000	0.0000000000000047142	0.0000000093598800000	1000.0000000000000000000	0.0041760000000000000
950.0000000000000000000	0.0000000000000044530	0.0000000089816000000	1000.0000000000000000000	0.0041200000000000000
960.0000000000000000000	0.0000000000000042746	0.0000000086880400000	1000.0000000000000000000	0.0040840000000000000
970.0000000000000000000	0.0000000000000040962	0.0000000083944800000	1000.0000000000000000000	0.0040480000000000000
980.0000000000000000000	0.0000000000000039178	0.0000000081009200000	1000.0000000000000000000	0.0040120000000000000
990.0000000000000000000	0.0000000000000037394	0.0000000078073600000	1000.0000000000000000000	0.0039760000000000000
1000.0000000000000000000	0.0000000000000035610	0.0000000075138000000	1000.0000000000000000000	0.0039400000000000000
